anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
19/10/2020;2020;10;The Art Salon;São Paulo;RM São Paulo;Inauguração salão de beleza um lugar aconchegante, moderno e inovador;Serviços;Outras atividades de serviços pessoais
18/10/2020;2020;10;Rumo;Inter-regionais;Inter-regionais;Concessão malha ferroviária com a compra de material rodante e manutenção da via permanente a renovação da concessão da via e que ligará Campinas a São Paulo e a linha 7-Rubi da Companhia Paulista de Trens Metropolitanos CPTM;Infraestrutura;Transporte terrestre
18/10/2020;2020;10;Centro de Atividades Turísticas - CAT;Santos;RA Santos;Concessão Centro de convenções;Serviços;Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas
18/10/2020;2020;10;Studio Isabella Henriques;Santos;RA Santos;Inauguração academia e espaço para a prática de exercícios;Serviços;Atividades esportivas e de recreação e lazer
17/10/2020;2020;10;Vila Helio;Mogi das Cruzes;RM São Paulo;Modernização Centro comercial do grupo Marbor;Serviços;Atividades imobiliárias
17/10/2020;2020;10;Hotel  Marbor;Mogi das Cruzes;RM São Paulo;Reforma hotel de todos apartamentos, do grupo Marbor;Serviços;Alojamento
16/10/2020;2020;10;Aeroporto Internacional de Viracopos;Campinas;RA Campinas;Instalação câmeras térmicas de medição de temperatura no momento do embarque dos passageiros e instalação 130 suportes de álcool em gel nos terminais de passageiros, cargas, estacionamentos e áreas administrativas;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
16/10/2020;2020;10;Eve Urban Air Mobility Solutions - Eve;Inter-regionais;Inter-regionais;Instalação empresa de desenvolvimento um veículo elétrico de decolagem e pouso vertical, conhecido pela sigla em inglês eVTOL e carinhosamente apelidado de carro voador;Indústria;Fabricação de outros equipamentos de transporte, exceto veículos automotores
16/10/2020;2020;10;SPBW;São Paulo;RM São Paulo;Instalação equipamento , roda gigante com 42 cabines climatizadas e com vista 360 graus no Parque Cândido Portinari;Serviços;Atividades esportivas e de recreação e lazer
15/10/2020;2020;10;Agibank;Campinas;RA Campinas;Instalação laboratório tecnologia do banco digital;Serviços;Pesquisa e desenvolvimento científico
15/10/2020;2020;10;Duli Magazine;São José do Rio Preto;RA São José do Rio Preto;Abertura loja de utilidades domésticas e brinquedos na região Norte;Comércio;Comércio varejista
15/10/2020;2020;10;Romano Cabeleireiros;São José do Rio Preto;RA São José do Rio Preto;Aquisição equipamentos para o salão para a sanitização do ambiente, com esterilização do ar e desinfecção da água, além de uso de utensílios antibactericida;Serviços;Outras atividades de serviços pessoais
15/10/2020;2020;10;Bourbon Street;São Paulo;RM São Paulo;Reforma bar musical com shows ao vivo;Serviços;Atividades artísticas, criativas e de espetáculos
14/10/2020;2020;10;Usina São Domingos;Catanduva;RA São José do Rio Preto;Desenvolvimento aplicativo de inteligência artificial e telemetria que estará interligada nos computadores de bordo das máquinas agrícolas;Agropecuária;Agricultura, pecuária e serviços relacionados
14/10/2020;2020;10;Ceaflor;Jaguariúna;RA Campinas;Expansão espaço de boxes do mercado de flores, plantas e acessórios florais;Comércio;Comércio varejista
14/10/2020;2020;10;Sam's Club;Americana;RA Campinas;Abertura supermercado de mercadorias em geral no cruzamento da Avenida Brasil com a Rua Paineiras;Comércio;Comércio varejista
13/10/2020;2020;10;GasBrasiliano;Américo Brasiliense;RA Central;Instalação rede de distribuição de gás natural canalizado na Usina Santa Cruz;Infraestrutura;Eletricidade, gás e outras utilidades
